tweet,class,CLEAN_TEXT
""" we dont trust these niggas all these bitches """,1,dont trust niggas bitches
""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,yall niggas b cuffing hoes cause yall aint never bitches
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",1,dodge bullet bitches cut pregnant bound thank god
""" young Pill Chamberlain these bitches love my music """,1,young pill chamberlain bitches love music
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1,teanna trump probably cleaner twitter hoes
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1,gay niggas couldnt wait act like bitches tonight
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1,ima steal cat n replace pitbull rt bitch
"""&amp; he's gone always be a hoe""",1,amp hes gone always hoe
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",1,son bitch took tic tacs like movie
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",1,wanna get money fuck model bitches russell simmons
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",1,probably wouldnt mind school much didnt deal bitch ass teachers retweet
"""@A7XDemery: I'm a fucking fag they said""",1,im fucking fag said
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",1,females think dating pussy cute stuff make pussy
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",2,simplyaddictedtoguys woof woof hot scally lad
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",1,ever asked bitch bitches kanye voice yes
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",1,u gone bring ur side bitch game know gf friends swear
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",2,woof woof hot soles
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",2,lemmie eat oreo amp dishes one oreo lol
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",1,bitch fuck u maybe youll get better
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1,fuck red malone man bitch ass niggah could please use complete sentences
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",2,eggplant emoji doey say looked like scream lmao
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",1,hennessey venom gt thats one sexy bitch
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",1,seh pussy wetter shower curtainltlmao
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",1,every need see pic posted bitch said racist shit
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",1,yo fuck skateboarding yall wood pushing faggots man ball life
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",2,baby monkey bathtime awwwwe soooo adorable
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",1,aint shit damn skippy lol
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",1,u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",1,rings mvps bitches lol
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,ppl talk bad ghettohood kid growing nigga funnnnnnn
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1,facts tattoostattoo hes pussy tattooing nipples
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",1,rt bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",1,get worshiping bitch woof woof
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",1,wow rt im lost buttcheek piercings yeah shes hoe
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1,ok sis shed rather broke bitch shrugs shell tell works
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0,queer gaywad
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",1,faggot read tweets dat k wasnt even funny lol
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",1,bitch ungrateful fr lulwhore
"""@CASHandBOOBIES: I been kidnapped yo bitch""",1,kidnapped yo bitch
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",0,alsarabsss hes beaner smh tell hes mexican
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",1,happy birthday nigs thanks yo
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",1,ur teacher tells u u homework bitch need go
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",1,nigga eating hoe lol hell yea lol john paul nigga said john paul
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",1,would yall lil ugly bald headed bitches stop making makeup amp weave
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",1,leafs better win damn game go riot shit better start looting nig
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",1,going back school sucks dick hoes attend
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",1,way fuck yo bitch year old
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",1,come never bring food dont car retard
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1,richnow doesnt show hella tinder hoes im friend anymore chill brought like like prople
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1,bout cowboys shutup pussy
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",1,lmaooooooooooo nigga ltbitch want likes depressing shitfoh
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",1,girl know spitting g shit amp going lbvsbitch plz
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",1,let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",1,harlem shake excuse go full retard seconds
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1,amen miley dont need act like hoe bc shes emotionally damaged foh
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",1,one loyal female wayyyyy better hoes idc
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",1,pussy licking pussy meow meow
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",1,check th man even faggot ny fans stands
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",1,happen vixen ent bitches got ran threw side like foothill bitch
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",1,im bitch okay nudes pat wow
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",0,youre fucking gay blacklisted hoe holding anyway
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",1,fuck wrong bitches nobody knows
"""@Dietrich1892: Yall shut up:p"" make me bitch",1,yall shut upp make bitch
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",1,hate im pregnant type bitch
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",1,got bitches dm dont ever readem top
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",2,baseball season win love started
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",1,little stupid bitch dont fuck yoooooouuuu
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",1,really asked dead ass serious tho could say bitch wheet lol
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",2,im early bird im night owl im wise worms
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",2,overdosing heavy drugs doesnt sound bad tonight pussy shit every day
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",2,pit bulls photographed lovely fairy tale creatures fairy tale creatures
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",1,aw fag dont tweet aw lol
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",2,long lakers trash could careless thats real cc hahaha
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",1,didnt say anything tho kiss faggot
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",2,play soccer cheat girls wear khaki coloured cargos haircut yup
"""@G27Status: I could go for a fat ass bitch on my lap"" same",1,could go fat ass bitch lap
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",1,missed calls das yo po bitch twitter finna screamn
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",1,side bitch gotta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",1,amo los pies fuck yeah
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",1,hoes thinking meat wont slap ass ainna bruh
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1,yall bitches wit edges talking
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1,yall still going trick treating year nahhell yeah ima sweet tooth bandit steal bitches bags n shit
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",1,wanna sex mom fuck right pussy came damn got hacked like fuck
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",1,kiss u eyes open watch bitchlmfao
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",1,woulda coulda shoulda ass hoe
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",1,happy bday bitch ass nigga preciate bitch roll
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",1,used send bitch
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",1,ugly bitches like im wcw duh bitch aint nobody elses
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",1,nigga know hacky sack hoes nah throw look passes lmao
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",1,glad im getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",2,isnt ghettoits smart im idc
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",1,would wife hoe cuz wouldnt care cheating force relationship first place
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",1,single isnt excuse hoe
"""@HoskinsTy96: White boy power bitch"" black power bitch",1,white boy power bitch black power bitch
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",1,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",1,bitch u around world back
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",1,dont get dick sucked yo party bad bitch im fr gone set
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",1,soooo cute probably hoes lot
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",1,every cartoon alway saving hoes lmao lmao damn captain saveahoe
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",2,wants get nose bad bois hot sox legs
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",1,wish bitch like brother keezy ooooow bet
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",1,dressed cat halloween basic pussy
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",1,pornhub get gaming stream feature dumb bitches gtfo get katielt
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",1,stop scared choke sex u bitch ass niggas shell like says guy hits women bed foh
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",1,ha well iguess make hoes loyal bro theyll never loyal hoes nig
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1,oh man molly ho fuck seed
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",1,youre man refer every girl bitch
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",1,lmfao cat started beating shit nigga finally got pussy nigga
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",2,peel peel bring back rewind back im move shaq line ooooow tf said trash
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",1,naw old tape new cover upcoming mixtape yeah im waiting hoe mayne
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",1,ol dirty foot ass bitches funny
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",1,thats get yellow flags amazing hell yeah niggy
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",1,dont got time bitches actin iffy
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",2,come stay alive knights nation still early bird special
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",1,hoes aint loyal aint smfh amp wonder nobody decent wants
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",1,bruh studs keep thinking im soft hell ask girl many times screamed bitch oh okay stfu bye hoe
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",1,dry pussy bitches always blame condom
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",1,shut yo bitch ass
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",1,gucci mane jail dropping mixtapes every month hoes cant even text back
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",1,love hoes money wats wrong niggas
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",1,loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol
"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",1,easy cum easy hoe thats fact
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",1,charlie sheen real major fucking respect charlie sheen
"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",1,wish bae got hoes tho
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",1,fuck twerking bitch cook
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",1,bitch wtf
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",1,shut zoe fight pussy zoe im good man good maam move along
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",1,lmao fucking snake bitches em
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",1,big booty hoes everywhere sheesh damn
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",2,stay tuned update report b weeks
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",2,play soccer cheat girls wear khaki coloured cargos haircut yes lmfao
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",1,oregon chokes every year get field trash ass program rft
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",1,def cowboy lol rt terrell owens best eagle amp cowboy ever dude cried like bitch tv romo
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",0,lmfaoooo hate black people theres black people niggers
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",1,could u bitch potent
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",2,pissed lad past would lick dirty soles slept
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",2,love frat boy w soft long soles
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",2,sexy lad hot soles arches
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",1,nah fam gotta cheat hoes depends female feel
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",2,got hicks lol
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",1,new twitter confusing shit go back south america bitch
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",1,toto means ass vaginai think pussy cause toto santi like nasty pussy
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",1,actually choose ugly bitch ass must fat
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",1,bitch couldnt kill vibe tried dis love miley
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",1,im tired bitches saying look mean nigga big af wear tight shirts grim everybody
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",2,birds grandkids may never see thanks climate change
"""@MvckFadden: ""Stay beautiful you bitch""""",1,stay beautiful bitch
"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",1,r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
"""@NastyCopper: Money getting taller and bitches getting blurry""",1,money getting taller bitches getting blurry
"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",1,aint never seen bitch obsessed nigga im obsessed mine
"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",1,kobe stay talking trash lets forget meant one smh
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",0,least im nigger lmfao
"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",1,people always asking im mixed bad asian bitch lol
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",0,ariza snake coward least isnt cripple like hero roach lmaoo
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",2,fosters home imaginary trash whoa chill show everything tf
"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",1,lowkey tired tired quiet go sleep hoe
"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",1,stop bringing weird niggers mentions
"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",1,dont love hoes
"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",1,yo girl cant homeboys ol weak bitch ass nigga
